# NeoMOM Impedance Sweep
# 2026-07-06, T10:55:32
# title       : 40 m center fed dipole — impedance sweep
# file        : Center_fed_40m_dipole_Zin.nml
# ground      : FREE_SPACE
# nports      : 1
# nfreq       : 201
# fstart_MHz  : 6.5000
# fstop_MHz   : 8.5000
# fstep_MHz   : .0100
# z0_ref_Ohm  : 50.0
#
# freq_MHz    Rin_Ohm    Xin_Ohm    Zin_Ohm    Gin_S      Bin_S      Yin_S      SWR
   8.34000       115.554       244.783       270.687      0.157707E-02 -0.334077E-02  0.369431E-02   13.0377    
   8.35000       116.069       247.136       273.036      0.155697E-02 -0.331511E-02  0.366253E-02   13.2005    
   8.36000       116.587       249.490       275.387      0.153732E-02 -0.328978E-02  0.363125E-02   13.3637    
   8.37000       117.108       251.846       277.742      0.151811E-02 -0.326476E-02  0.360046E-02   13.5273    
   8.38000       117.631       254.202       280.099      0.149933E-02 -0.324007E-02  0.357016E-02   13.6914    
   8.39000       118.156       256.566       282.466      0.148089E-02 -0.321563E-02  0.354025E-02   13.8564    
   8.40000       118.684       258.925       284.829      0.146292E-02 -0.319156E-02  0.351087E-02   14.0213    
   8.41000       119.215       261.293       287.204      0.144527E-02 -0.316772E-02  0.348184E-02   14.1872    
   8.42000       119.749       263.666       289.585      0.142797E-02 -0.314414E-02  0.345321E-02   14.3538    
   8.43000       120.284       266.035       291.964      0.141108E-02 -0.312090E-02  0.342508E-02   14.5204    
   8.44000       120.823       268.409       294.350      0.139451E-02 -0.309792E-02  0.339732E-02   14.6877    
   8.45000       121.365       270.791       296.744      0.137826E-02 -0.307517E-02  0.336991E-02   14.8557    
   8.46000       121.909       273.166       299.135      0.136239E-02 -0.305277E-02  0.334298E-02   15.0236    
   8.47000       122.457       275.552       301.537      0.134679E-02 -0.303055E-02  0.331634E-02   15.1926    
   8.48000       123.006       277.937       303.940      0.133153E-02 -0.300864E-02  0.329012E-02   15.3617    
   8.49000       123.559       280.328       306.351      0.131655E-02 -0.298696E-02  0.326423E-02   15.5315    
   8.50000       124.114       282.719       308.762      0.130188E-02 -0.296556E-02  0.323874E-02   15.7015    
